Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Winter Storm,2010,2/5/10,6:48 p.m.,2/7/10,5:00 PM,North and South Carolina,SERC,500,"74,000","severe weather, winter storm"
Winter Storm,2010,2/5/10,3:00 p.m.,2/13/10,4:00 PM,Southern NJ,RFC,N/A,"221,000","severe weather, winter storm"
Winter Storm,2010,2/5/10,7:00 p.m.,2/12/10,3:46 PM,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,N/A,"97,651","severe weather, winter storm"
Winter Storm,2010,2/5/10,10:30 p.m.,2/12/10,12:00 PM,Southwestern Pennsylvania,RFC,N/A,"57,000","severe weather, winter storm"
Winter Storm,2010,2/5/10,11:30 p.m.,2/7/10,2:38 AM,"Indiana, Ohio, W. Virginia and Virginia",RFC,N/A,"102,225","severe weather, winter storm"
Ice Storm/Electrical System Separation,2010,2/1/10,2:32 p.m.,2/1/10,5:00 PM,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding"
Ice Storm,2010,1/28/10,12:00 p.m.,2/2/10,12:00 PM,Oklahoma,SPP,N/A,"68,705","severe weather, winter storm"
Severe Storm,2010,1/20/10,1:00 p.m.,1/24/10,6:10 PM,"City of Los Angeles, California",WECC,N/A,"147,223","severe weather, storm"
Severe Storm,2010,1/19/10,2:30 p.m.,1/20/10,3:00 PM,San Diego and Orange Counties,WECC,"2,650","50,000","severe weather, storm"
Severe Storm,2010,1/19/10,7:30 a.m.,1/19/10,12:24 PM,San Francisco,WECC,300,"30,000","severe weather, storm"
Severe Storm,2010,1/18/10,11:30 a.m.,1/28/10,8:00 AM,Northern and Central California,WECC,290,"1,700,000","severe weather, storm"
Interruptible Load Shed/Made Public Appeals,2010,1/11/10,3:45 a.m.,1/11/10,9:57 AM,Northern and Central Florida,"FRCC, SERC",N/A,N/A,"load shedding, public appeal"
Made Public Appeals,2010,1/6/10,6:00 p.m.,1/8/10,6:00 PM,Southwest Louisiana,SERC,N/A,N/A,public appeal
Severe Weather,2009,12/18/09,8:00 p.m.,12/25/09,9:30 p.m.,"West Virginia, Kentucky, Ohio",RFC,N/A,"403,913",severe weather
Severe Weather,2009,12/18/09,10:55 p.m.,12/19/09,11:15 p.m.,Western North Carolina,SERC,N/A,"47,000",severe weather
Severe Weather,2009,12/10/09,5:45 p.m.,12/12/09,8:00 a.m.,Michigan,RFC,N/A,"65,562",severe weather
Severe Weather,2009,12/9/09,1:37 p.m.,12/10/09,6:30 a.m.,Ohio,RFC,N/A,"48,102",severe weather
Load Shed/Made Public Appeals,2009,12/8/09,6:34 a.m.,12/8/09,12:00 p.m.,California,WECC,N/A,N/A,"load shedding, public appeal"
Severe Weather,2009,12/8/09,1:00 a.m.,12/10/09,11:00 a.m.,Arizona,WECC,N/A,"140,000",severe weather
Forced Outage Equipment Failure,2009,12/7/09,10:00 p.m.,12/8/09,4:00 a.m.,California,WECC,400,N/A,equipment failure
Switching Failure,2009,11/18/09,6:15 a.m.,11/18/09,10:00 a.m.,"Central Valley, CA",WECC,630,N/A,equipment failure
Tropical Storm Ida,2009,11/12/09,6:45 p.m.,11/14/09,4:25 a.m.,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm"
High Winds,2009,10/13/09,3:45 p.m.,10/13/09,5:50 p.m.,Sacramento County,WECC,90,"94,000","severe weather, wind"
Ice,2009,10/13/09,12:48 p.m.,10/13/09,2:34 p.m.,Southeastern Wyoming,WECC,101,"35,500","severe weather, winter storm"
High Winds and Rain,2009,10/13/09,4:00 p.m.,10/13/09,10:30 p.m.,Northern California,WECC,350,"859,554","severe weather, wind, rain"
Transmission System Interruption,2009,10/9/09,6:30 p.m.,10/9/09,7:10 p.m.,"Central Valley, CA (Bakersfield, CA)",WECC,180,N/A,transmission interruption
Winter Storm,2009,10/9/09,10:45 p.m.,10/11/09,4:00 p.m.,Arkansas and North Louisiana,SERC,N/A,"56,000","severe weather, winter storm"
Severe Storms,2009,10/7/09,5:45 a.m.,10/9/09,11:00 p.m.,Southeast Michigan,RFC,N/A,"75,000","severe weather, storm"
Made Public Appeals,2009,8/31/09,10:31 a.m.,8/31/09,12:00 a.m.,"City of Los Angeles, California",WECC,N/A,N/A,public appeal
Electrical System Separation,2009,8/29/09,11:00 a.m.,8/29/09,2:01 p.m.,Western South Dakota,MRO,373,18,islanding
Electrical System Separation,2009,8/29/09,10:54 p.m.,8/29/09,11:53 p.m.,Western South Dakota,RFC,84,0,islanding
Thunderstorms,2009,8/21/09,7:00 p.m.,8/22/09,8:00 a.m.,Houston Metropolitan Service Area,TRE,544,"80,000","severe weather, thunderstorm"
Thunderstorms,2009,8/12/09,6:25 p.m.,8/12/09,10:00 a.m.,South Houston Service Area,TRE,491,"73,000","severe weather, thunderstorm"
Severe Thunderstorms,2009,8/9/09,7:31 p.m.,8/10/09,9:59 a.m.,"Michigan, Lower Peninsula",RFC,N/A,"58,156","severe weather, thunderstorm"
High Winds and Rain,2009,8/7/09,11:00 p.m.,8/11/09,10:00 p.m.,Western Region of Service Territory,RFC,N/A,"137,000","severe weather, wind, rain"
Made Public Appeals,2009,8/5/09,3:00 p.m.,8/5/09,7:00 p.m.,ERCOT Region,TRE,N/A,N/A,public appeal
Thunderstorms,2009,8/4/09,1:45 p.m.,8/8/09,9:00 p.m.,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,"63,700","severe weather, thunderstorm"
Highwinds,2009,8/2/09,2:17 a.m.,8/3/09,1:09 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,N/A,"70,264","severe weather, wind"
Loss of Part of Substation,2009,7/28/09,8:18 p.m.,7/28/09,8:33 p.m.,Salt Lake City Utah and Northern Utah,WECC,316,N/A,equipment failure
Failure of Computer Hardware Used for Monitoring,2009,7/27/09,5:05 a.m.,7/27/09,5:47 a.m.,"Chattanooga, Tennessee",SERC,N/A,N/A,equipment failure
Unit Tripped,2009,7/21/09,5:34 a.m.,7/21/09,8:43 a.m.,"San Francisco Bay Area, California",WECC,136,1,generator trip
Severe Thunderstorm,2009,7/20/09,9:50 p.m.,7/22/09,7:00 p.m.,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,"86,058","severe weather, thunderstorm"
Thunderstorms,2009,7/18/09,7:00 p.m.,7/19/09,9:00 p.m.,Houston/Galveston Area,TRE,51,"73,000","severe weather, thunderstorm"
Made Public Appeals,2009,7/16/09,1:00 p.m.,7/16/09,6:00 p.m.,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Made Public Appeals,2009,7/15/09,1:00 p.m.,7/15/09,6:00 p.m.,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Made Public Appeals,2009,7/14/09,1:00 p.m.,7/14/09,6:00 p.m.,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Made Public Appeals,2009,7/8/09,1:30 p.m.,7/8/09,7:00 p.m.,ERCOT Region,TRE,N/A,N/A,public appeal
Made Public Appeals,2009,7/7/09,3:30 p.m.,7/7/09,7:00 p.m.,"San Antonio, Texas",TRE,N/A,N/A,public appeal
Electrical System Separation,2009,7/2/09,10:44 p.m.,7/3/09,1:25 a.m.,Northern Maine,NPCC,0,0,islanding
Severe Thunderstorms,2009,6/26/09,5:00 p.m.,6/29/09,9:00 a.m.,Central Connecticut,NPCC,N/A,"50,752","severe weather, thunderstorm"
Severe Thunderstorms,2009,6/26/09,1:00 a.m.,6/27/09,9:00 a.m.,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,"85,000","severe weather, thunderstorm"
High Winds/Rain,2009,6/25/09,3:30 p.m.,6/28/09,8:00 p.m.,Western Region of Service Territory,RFC,N/A,"118,000","severe weather, wind, rain"
Made Public Appeals,2009,6/25/09,3:16 p.m.,6/25/09,7:00 p.m.,ERCOT Region,TRE,N/A,N/A,public appeal
Made Public Appeals,2009,6/24/09,1:30 p.m.,6/24/09,10:00 p.m.,Southwest Louisiana,SERC,N/A,N/A,public appeal
Severe Storm,2009,6/19/09,1:00 p.m.,6/19/09,11:59 p.m.,The Entire ComEd Service Territory,SERC,N/A,"245,000","severe weather, storm"
Severe Storm,2009,6/19/09,12:01 a.m.,6/21/09,11:00 p.m.,Michigan Lower Peninsula,RFC,75,"99,000","severe weather, storm"
Fuel Supply Deficiency,2009,6/16/09,11:00 p.m.,6/17/09,2:00 a.m.,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Severe Storm,2009,6/12/09,4:37 p.m.,6/12/09,6:53 p.m.,"Chattanooga, Tennessee",SERC,860,"136,000","severe weather, storm"
Severe Thunderstorm,2009,6/12/09,10:00 p.m.,6/13/09,6:00 p.m.,Georgia,SERC,290,"102,000","severe weather, thunderstorm"
Severe Thunderstorms,2009,6/12/09,5:45 p.m.,6/15/09,11:59 p.m.,"Arkansas, North Mississippi",SERC,N/A,"81,645","severe weather, thunderstorm"
Severe Storms,2009,6/10/09,6:00 p.m.,6/14/09,10:00 a.m.,North and Central Texas,TRE,N/A,"800,000","severe weather, storm"
Severe Thunderstorms,2009,6/9/09,5:25 p.m.,6/11/09,5:00 a.m.,Central Maryland,RFC,60,"85,091","severe weather, thunderstorm"
Electrical System Separation,2009,6/5/09,1:38 p.m.,6/5/09,8:18 p.m.,East of Fresno California,WECC,1,70,islanding
Transmission Equipment Failure,2009,5/29/09,9:05 a.m.,5/29/09,7:57 p.m.,"Henderson County, Kentucky",SERC,342,1,"equipment failure, transmission interruption"
Severe Thunderstorm,2009,5/8/09,7:30 a.m.,5/8/09,9:00 a.m.,SW Missouri,SERC,266,"83,000","severe weather, thunderstorm"
Severe Thunderstorm,2009,5/8/09,1:30 p.m.,5/14/09,11:20 p.m.,Southern Illinois,SERC,300,"68,800","severe weather, thunderstorm"
High Winds,2009,4/27/09,3:30 p.m.,4/28/09,11:30 a.m.,Greater Houston/Galveston Area,TRE,176,"158,000","severe weather, wind"
High Winds/Rain,2009,4/25/09,2:30 p.m.,4/29/09,1:00 a.m.,Western Region of Service Territory,RFC,N/A,"125,000","severe weather, wind, rain"
Complete Electric System Failure,2009,4/24/09,11:09 a.m.,4/24/09,11:21 a.m.,"Ruston, Louisiana",SERC,32,"11,000",unknown
Fuel Supply Deficiency,2009,4/23/09,12:00 a.m.,Ongoing,Ongoing,Restricted Hydro Electric Capability,WECC,-,-,fuel supply emergency
Substation Load Interruption,2009,4/23/09,5:54 p.m.,4/23/09,7:58 p.m.,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000",load shedding
Transmission Tripped,2009,4/23/09,4:25 p.m.,4/24/09,12:29 a.m.,"Skagit County, Washington",WECC,244,"93,300",equipment failure
Severe Thunderstorms,2009,4/10/09,10:00 p.m.,4/11/09,2:30 a.m.,Alabama and Georgia,SERC,162,"56,679","severe weather, thunderstorm"
Winter Storm,2009,4/6/09,1:00 a.m.,4/8/09,12:00 p.m.,"Michigan, Lower Peninsula",RFC,75,"70,793","severe weather, winter storm"
Unit Shut Down,2009,3/8/09,10:16 p.m.,3/8/09,11:45 p.m.,"San Francisco Bay Area, California",WECC,150,-,unknown
Made Public Appeals,2009,3/3/09,10:00 p.m.,3/4/09,8:17 p.m.,"Roanoke, Virginia",RFC,350,0,public appeal
Transformer Faulted/Unit Tripped,2009,3/3/09,6:48 a.m.,4/26/09,6:05 a.m.,Southwest Michigan,RFC,378,N/A,equipment failure
Winter Storm,2009,3/1/09,10:00 p.m.,3/3/09,6:00 p.m.,Central Virginia - Spotsylvania County,SERC,210,"217,000","severe weather, winter storm"
Ice/Snow Storm,2009,3/1/09,8:54 p.m.,3/3/09,4:06 p.m.,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","severe weather, winter storm"
Transmission Equipment Failure,2009,3/1/09,12:15 a.m.,3/1/09,3:00 a.m.,"City of El Paso, Texas, County of El Paso",WECC,250,"132,000","equipment failure, transmission interruption"
Severe Weather,2009,3/1/09,4:00 p.m.,3/1/09,11:25 p.m.,Southern Balancing Area,SERC,75,"60,000",severe weather
Ice/Snow Storm,2009,2/23/09,2:38 a.m.,2/24/09,1:46 p.m.,Southern Central and Western Maine,NPCC,N/A,"131,000","severe weather, winter storm"
High Winds,2009,2/13/09,2:30 a.m.,2/15/09,3:00 a.m.,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind"
High Winds,2009,2/12/09,2:30 a.m.,2/12/09,6:00 a.m.,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind"
High Winds,2009,2/12/09,8:00 a.m.,2/15/09,10:00 p.m.,Western and North Eastern Pennsylvania,RFC,130,"132,000","severe weather, wind"
Severe Thunderstorms,2009,2/11/09,6:18 p.m.,2/16/09,8:10 p.m.,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,N/A,"374,644","severe weather, thunderstorm"
Severe Thunderstorms,2009,2/11/09,6:00 p.m.,2/13/09,5:00 p.m.,"Kentucky, West Virginia and Ohio",RFC,N/A,"279,813","severe weather, thunderstorm"
Severe Thunderstorms,2009,2/11/09,9:00 p.m.,2/12/09,12:00 p.m.,Northern Kentucky and Southwest Ohio,RFC,350,"63,000","severe weather, thunderstorm"
High Winds,2009,2/11/09,2:30 a.m.,2/11/09,12:00 p.m.,"Houston, Texas",TRE,350,"64,801","severe weather, wind"
Severe Thunderstorms,2009,2/11/09,7:00 p.m.,2/12/09,11:00 a.m.,State of Kentucky,RFC,N/A,"78,000","severe weather, thunderstorm"
Winter Storm,2009,1/28/09,12:10 a.m.,1/30/09,9:20 p.m.,East Central Missouri,RFC,300,1,"severe weather, winter storm"
Ice/Snow Storm,2009,1/28/09,10:00 a.m.,1/30/09,9:20 p.m.,Northern Kentucky and Southwest Ohio,RFC,N/A,"53,600","severe weather, winter storm"
Ice/Snow Storm,2009,1/28/09,7:50 a.m.,2/13/09,8:03 a.m.,Southern Indiana,RFC,N/A,"53,700","severe weather, winter storm"
Winter Storm,2009,1/28/09,3:00 a.m.,2/13/09,8:03 a.m.,"Illinois, Indiana, Ohio and Kentucky",RFC,N/A,"230,300","severe weather, winter storm"
Ice Storm,2009,1/28/09,9:00 a.m.,2/5/09,8:00 a.m.,Northeast Tennessee and Southwest Kentucky,SERC,N/A,"109,527","severe weather, winter storm"
Ice Storm,2009,1/28/09,6:00 a.m.,2/5/09,6:00 p.m.,"Indiana, Evansville, Metro Area",RFC,506,"75,000","severe weather, winter storm"
Ice Storm,2009,1/28/09,4:00 a.m.,2/7/09,5:00 p.m.,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,"3,500","severe weather, winter storm"
Ice/Snow Storm,2009,1/27/09,3:43 p.m.,1/29/09,9:00 a.m.,CSWS-AEP West,RFC,N/A,"59,402","severe weather, winter storm"
Ice Storm,2009,1/27/09,7:10 a.m.,2/4/09,7:30 p.m.,Western Kentucky and Southern Indiana,SERC,350,3,"severe weather, winter storm"
Winter Storm,2009,1/27/09,11:00 a.m.,1/30/09,6:00 p.m.,South Central and Southeast Missouri,SERC,200,"62,500","severe weather, winter storm"
Ice Storm,2009,1/27/09,9:00 p.m.,1/29/09,6:00 a.m.,Northern Arkansas,SERC,600,"215,700","severe weather, winter storm"
Ice Storm,2009,1/27/09,5:03 a.m.,1/31/09,5:15 p.m.,Central and Eastern Kentrucky,SERC,600,"190,000","severe weather, winter storm"
Ice Storm,2009,1/27/09,1:46 p.m.,2/3/09,5:00 p.m.,Northern Arkansas,SERC,N/A,"111,818","severe weather, winter storm"
Ice Storm,2009,1/27/09,5:00 a.m.,1/29/09,4:30 p.m.,State of Kentucky,RFC,N/A,"383,000","severe weather, winter storm"
Ice Storm,2009,1/27/09,9:45 p.m.,1/27/09,10:17 p.m.,TVA Service Territory,SERC,850,1,"severe weather, winter storm"
Shed Load,2009,1/22/09,4:00 p.m.,1/22/09,5:05 p.m.,"Crawfordsville, Indiana",RFC,50,"9,700",load shedding
Fuel Supply Deficiency,2009,1/17/09,8:00 a.m.,1/25/09,8:00 a.m.,"PJM, Indiana",RFC,N/A,N/A,fuel supply emergency
Transmission Equipment Failure,2009,1/8/09,11:46 p.m.,1/9/09,11:25 a.m.,Florida Keys,FRCC,55,"31,000","equipment failure, transmission interruption"
High Winds,2009,1/7/09,5:00 p.m.,1/7/09,8:05 p.m.,Piedmont of North and South Carolina,SERC,300,"70,000","severe weather, wind"
Severe Storm,2009,1/5/09,5:00 a.m.,1/6/09,6:00 p.m.,North and Central Texas,TRE,N/A,"157,019","severe weather, storm"
Shed Firm Load,2008,12/30/08,4:02 p.m.,12/30/08,4:37 p.m.,"Crawfordsville, Indiana",RFC,41,"9,700",load shedding
Wind Storm,2008,12/28/08,4:45 a.m.,12/31/08,6:00 p.m.,Michigan Lower Peninsula,RFC,N/A,"210,517","severe weather, wind"
Wind Storm,2008,12/28/08,11:45 a.m.,12/28/08,11:30 p.m.,Michigan Lower Peninsula,RFC,N/A,"230,000","severe weather, wind"
Wind Storm,2008,12/27/08,4:00 p.m.,1/1/08,11:30 p.m.,Southeastern Michigan,RFC,N/A,"247,847","severe weather, wind"
Lightning,2008,12/26/08,6:13 p.m.,12/27/08,5:00 p.m.,"Island of Oahu, Hawaii",HI,"1,060","294,000","severe weather, thunderstorm"
Load Shedding,2008,12/26/08,11:40 a.m.,12/26/08,3:34 p.m.,"Orangevale Area of Sacramento, California",WECC,110,"50,000",load shedding
Ice Storm,2008,12/19/08,9:00 a.m.,12/20/08,8:20 a.m.,Northwest Indiana,RFC,N/A,"50,000","severe weather, winter storm"
Electrical System Separation,2008,12/19/08,1:02 a.m.,12/19/08,6:17 a.m.,"East of Oroville, California",WECC,1,638,islanding
Ice Storm,2008,12/19/08,8:30 a.m.,12/22/08,12:00 p.m.,"Indiana, Michigan and Northwest Ohio",RFC,N/A,"140,000","severe weather, winter storm"
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/08,3:30 p.m.,12/21/08,9:17 a.m.,Humboldt Area of California,WECC,5,0,public appeal
Ice Storm,2008,12/12/08,8:45 a.m.,12/14/08,9:52 a.m.,Southern and Central Maine,NPCC,N/A,"169,757","severe weather, winter storm"
Ice Storm,2008,12/12/08,1:00 a.m.,12/22/08,12:00 a.m.,New England,NPCC,N/A,"970,000","severe weather, winter storm"
Ice Storm,2008,12/12/08,2:38 a.m.,12/19/08,1:24 p.m.,Eastern New York,NPCC,200,"190,000","severe weather, winter storm"
Ice Storm,2008,12/11/08,6:00 p.m.,12/15/08,12:00 a.m.,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,N/A,"60,000","severe weather, winter storm"
Snow Storm,2008,12/11/08,9:00 a.m.,12/13/08,11:59 p.m.,"Southern Louisiana, Southern and Central Mississippi",SERC,N/A,"91,300","severe weather, winter storm"
Equipment Failure/Made Public Appeal,2008,12/10/08,5:09 p.m.,12/10/08,8:29 p.m.,Southern Oregon,WECC,32,3,"equipment failure, public appeal"
Lines Loss/Transmission,2008,12/9/08,5:27 p.m.,12/10/08,4:12 a.m.,Central New Jersey,RFC,438,"156,729",transmission interruption
Fire/Load Shedding,2008,12/2/08,4:30 a.m.,12/2/08,7:00 a.m.,"St. Louis, Missouri",RFC,135,"53,000","wild fire, load shedding"
Brush Fire/Shed Firm Load,2008,11/15/08,9:39 a.m.,11/15/08,10:10 a.m.,City of Los Angeles,WECC,211,"115,500","wild fire, load shedding"
Shed Firm Load,2008,11/11/08,8:30 a.m.,11/11/08,12:19 a.m.,Island of Puerto Rico,PR,250,"261,000",load shedding
Load Shedding,2008,11/7/08,11:15 a.m.,11/7/08,11:54 a.m.,Southern California,WECC,430,"400,000",load shedding
Load Shedding,2008,11/7/08,11:13 a.m.,11/7/08,11:54 a.m.,Goleta and Santa Barbara Areas of Southern California,WECC,250,"140,000",load shedding
Severe Storm,2008,10/25/08,11:00 p.m.,10/27/08,7:00 a.m.,Connecticut,NPCC,N/A,"52,000","severe weather, storm"
Load Shedding,2008,10/2/08,2:50 p.m.,10/2/08,9:50 a.m.,Louisiana,SERC,200,0,load shedding
Electrical System Separation,2008,9/30/08,2:02 p.m.,9/30/08,2:05 p.m.,"Plumas County, California",WECC,30,"10,000",islanding
Shed Firm Load,2008,9/22/08,5:49 p.m.,9/22/08,6:39 a.m.,Island of Puerto Rico,PR,125,"43,600",load shedding
Tropical Depression Ike,2008,9/15/08,12:37 a.m.,9/19/08,4:30 p.m.,Western Pennsylvania,RFC,546,"160,875","severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/08,5:00 p.m.,9/22/08,5:11 p.m.,"Southern, Eastern, and Central Ohio",RFC,469,"564,728","severe weather, wind"
High Winds,2008,9/14/08,10:01 a.m.,9/21/08,5:00 p.m.,"City of Owensboro, Kentucky",RFC,70,"18,000","severe weather, wind"
Tropical Depression Ike,2008,9/14/08,11:30 a.m.,9/14/08,4:30 p.m.,State of Kentucky,RFC,N/A,"375,000","severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/08,5:00 p.m.,9/22/08,3:20 a.m.,Northeast Ohio,RFC,430,"245,164","severe weather, wind"
Hurricane Ike,2008,9/14/08,7:30 a.m.,9/18/08,3:00 p.m.,Missouri and Illinois,MRO,N/A,"107,000","severe weather, hurricane/tropical storm"
Tropical Depression Ike,2008,9/14/08,6:30 a.m.,9/14/08,2:38 p.m.,"Ohio, Kentucky, Indiana",RFC,N/A,"875,000","severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/08,5:00 p.m.,9/19/08,12:38 p.m.,Western Pennsylvania,RFC,72,"124,596","severe weather, wind"
Hurricane Ike,2008,9/14/08,2:00 p.m.,9/17/08,12:00 p.m.,Dayton Ohio Area,RFC,"1,000","95,000","severe weather, hurricane/tropical storm"
Tropical Depression Ike,2008,9/14/08,7:00 p.m.,9/14/08,11:59 p.m.,Allegheny and Beaver Counties in Pennsylvania,RFC,600,"105,000","severe weather, hurricane/tropical storm"
Wind Storm,2008,9/14/08,4:00 p.m.,9/20/08,11:00 p.m.,"Northern Indiana, Central and Central Southern Ohio",RFC,N/A,"650,000","severe weather, wind"
Hurricane Ike,2008,9/13/08,12:00 p.m.,9/15/08,8:00 a.m.,"North, Central and East Texas",TRE,N/A,"238,392","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/13/08,4:00 p.m.,9/16/08,7:44 p.m.,Texas and Louisana,SPP,N/A,"184,501","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/13/08,10:24 a.m.,9/27/08,2:40 p.m.,Southwest Louisiana,SERC,40,"50,000","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/08,8:00 p.m.,9/27/08,7:00 p.m.,Galveston and Brazoria Counties,TRE,650,"113,247","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/08,6:21 p.m.,10/1/08,11:59 p.m.,Greater Houston-Galveston Metro Area,TRE,"8,087","2,142,678","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/08,6:21 p.m.,10/1/08,11:59 p.m.,Greater Houston Area-Eastern Region of ERCOT,TRE,N/A,"2,504,366","severe weather, hurricane/tropical storm"
Hurricane Ike,2008,9/12/08,5:45 a.m.,9/14/08,1:00 p.m.,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,N/A,"705,000","severe weather, hurricane/tropical storm"
Fuel Supply Deficiency,2008,9/8/08,10:03 p.m.,9/9/08,12:28 a.m.,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Tropical Storm Hanna,2008,9/6/08,2:15 p.m.,9/6/08,4:06 p.m.,North East North Carolina and Virginia,SERC,220,"64,463","severe weather, hurricane/tropical storm"
Tropical Storm Hanna,2008,9/6/08,7:45 a.m.,9/6/08,10:30 a.m.,Eastern North Carolina,SERC,N/A,"57,000","severe weather, hurricane/tropical storm"
Hurricane Gustav,2008,9/1/08,10:30 a.m.,9/13/08,7:22 p.m.,Primarily South and Central Louisiana,SERC,400,"150,000","severe weather, hurricane/tropical storm"
Hurricane Gustav,2008,9/1/08,11:45 a.m.,9/10/08,4:00 p.m.,"Bayou Division and North Lake Division, Louisiana",SERC,N/A,"246,092","severe weather, hurricane/tropical storm"
Fuel Supply Curtailed,2008,8/31/08,7:30 a.m.,9/19/08,9:00 a.m.,"Plaquemine, Louisiana",SERC,200,0,fuel supply emergency
Hurricane Gustav,2008,8/31/08,7:00 p.m.,9/3/08,9:00 a.m.,"Louisiana, Mississippi, Arkansas",SERC,N/A,"964,000","severe weather, hurricane/tropical storm"
Tropical Storm Fay,2008,8/24/08,4:30 a.m.,8/24/08,2:00 p.m.,Georgia and Alabama,SERC,110,"87,390","severe weather, hurricane/tropical storm"
Fuel Supply Emergency-Low Coal Inventory Levels,2008,8/22/08,12:00 p.m.,8/23/08,12:00 p.m.,-,RFC,0,0,"fuel supply emergency, coal"
Tropical Storm Fay,2008,8/21/08,7:00 p.m.,8/25/08,8:00 a.m.,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",FRCC,N/A,"430,000","severe weather, hurricane/tropical storm"
Tropical Storm Fay,2008,8/19/08,9:29 a.m.,8/22/08,10:00 p.m.,Florida,FRCC,N/A,"101,950","severe weather, hurricane/tropical storm"
Shed Firm Load,2008,8/18/08,7:22 p.m.,8/19/08,6:44 p.m.,North Part of Island,PR,225,"100,000",load shedding
Lightning/Transmission Equipment Damage,2008,8/16/08,5:23 a.m.,8/16/08,7:30 a.m.,City of Lubbock,TRE,153,"71,823","severe weather, thunderstorm, equipment failure"
Shed Firm Load/Voltage Reduction,2008,8/16/08,8:14 a.m.,8/16/08,3:00 p.m.,Island of Puerto Rico,PR,300,"200,000","load shedding, voltage reduction"
Made Public Appeals,2008,8/15/08,12:52 p.m.,8/15/08,5:00 p.m.,Part of Seattle's Downtown,WECC,100,"8,000",public appeal
Declared Energy Emergency Alert 1/Made Public Appeals,2008,8/9/08,12:00 p.m.,8/9/08,8:46 p.m.,Texas Panhandle and Eastern New Mexico,SPP,0,0,"fuel supply emergency, public appeal"
Severe Storms,2008,8/5/08,3:00 a.m.,8/5/08,9:50 a.m.,Northwest Indiana,RFC,0,"63,000","severe weather, storm"
Severe Weather,2008,8/4/08,6:00 p.m.,8/6/08,8:00 a.m.,The ComEd Territory,RFC,N/A,"653,000",severe weather
Severe Thunderstorms,2008,8/3/08,1:30 a.m.,8/3/08,4:15 a.m.,"Mississippi, Louisiana, Texas",SERC,N/A,"59,500","severe weather, thunderstorm"
Severe Thunderstorms,2008,8/2/08,8:00 p.m.,8/3/08,5:30 a.m.,Georgia and Alabama,SERC,400,"131,115","severe weather, thunderstorm"
Electric System Separation/Severe Lightning Storms,2008,7/24/08,7:23 a.m.,7/24/08,5:41 p.m.,"Bangor Hydro System, northern Maine",NPCC,180,"110,000","severe weather, thunderstorm, islanding"
Hurricane Dolly,2008,7/23/08,5:56 a.m.,7/31/08,4:00 a.m.,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,703,"211,266","severe weather, hurricane/tropical storm"
Severe Thunderstorms,2008,7/22/08,3:00 a.m.,7/24/08,7:32 p.m.,Indiana,RFC,N/A,"58,000","severe weather, thunderstorm"
