Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Vandalism,2017,05/03/2017,11:00 PM,Unknown,Unknown,"Pennsylvania: Philadelphia County, Montgomery County",RFC,0,0,
Severe Weather,2017,05/04/2017,5:00 AM,05/04/2017,10:00 PM,Alabama: Georgia,SERC,200,60377,
Generation Inadequacy,2017,05/07/2017,11:30 PM,05/08/2017,5:00 AM,Kentucky: Daviess County,SERC,80,0,
Fuel Supply Deficiency,2017,05/07/2017,5:15 AM,Unknown,Unknown,California: Fresno County,WECC,0,0,
Vandalism,2017,05/11/2017,11:05 AM,05/11/2017,1:05 PM,Washington: Yakima County,WECC,0,0,
Severe Weather,2017,05/19/2017,5:30 AM,Unknown,Unknown,Missouri: St. Louis County,SERC,Unknown,70696,
Vandalism,2017,05/21/2017,4:44 PM,05/21/2017,5:43 PM,"Idaho: Lincoln County, Jerome County",WECC,21,9598,
Vandalism,2017,05/23/2017,5:02 AM,05/23/2017,8:40 AM,Tennessee: Davidson County,SERC,10,4700,
Severe Weather,2017,05/27/2017,11:00 PM,Unknown,Unknown,"Tennessee: Shelby County, Putnam County, Knox County, Davidson County, Hamilton County; Alabama: Madison County",SERC,Unknown,116000,
Severe Weather,2017,05/27/2017,11:10 PM,Unknown,Unknown,Tennessee: Shelby County,SERC,391,188000,
Severe Weather,2017,05/28/2017,7:30 PM,05/29/2017,10:00 PM,Louisiana: Texas,SERC,Unknown,103000,
Vandalism,2017,05/28/2017,4:27 PM,05/28/2017,4:28 PM,Nevada: Clark County,WECC,0,0,
Severe Weather,2017,05/28/2017,7:30 PM,05/29/2017,10:00 PM,Texas: Louisiana,TRE,Unknown,103000,
Vandalism ,2017,06/07/2017,1:12 PM,06/07/2017,1:13 PM,Washington: Yakima County,WECC,0,0,
Severe Weather,2017,06/11/2017,1:25 PM,06/11/2017,7:15 PM,Wisconsin,MRO,Unknown,53610,
Transmission Interruption,2017,06/11/2017,2:39 PM,06/11/2017,5:55 PM,Michigan,RFC,63,Unknown,
Severe Weather,2017,06/11/2017,7:00 AM,06/11/2017,11:22 AM,Minnesota,MRO,Unknown,70000,
Severe Weather,2017,06/15/2017,5:00 PM,06/15/2017,10:00 PM,"Alabama, Georgia",SERC,275,82713,
Severe Weather,2017,06/16/2017,8:00 PM,06/17/2017,6:00 AM,Arkansas,SERC,Unknown,76000,
Severe Weather,2017,06/16/2017,8:00 PM,Unknown,Unknown,"Nebraska: Cass County, Douglas County, Sarpy County",MRO,Unknown,76000,
Severe Weather,2017,06/17/2017,9:00 PM,06/18/2017,7:00 AM,"Kansas, Missouri: Jackson County, Platte County, Clay County, Cass County",MRO,Unknown,84737,
Physical Attack,2017,06/21/2017,12:00 AM,06/21/2017,1:00 AM,Oregon: Baker County,WECC,0,0,
Severe Weather,2017,06/22/2017,6:00 PM,06/25/2017,12:45 PM,"Michigan: Wayne County, Monroe County",RFC,Unknown,118631,
Vandalism ,2017,06/29/2017,4:00 AM,Unknown,Unknown,Louisiana: Orleans Parish,SERC,130,6467,
Vandalism ,2017,06/30/2017,7:45 AM,06/30/2017,7:46 AM,Idaho: Ada County,WECC,0,0,
Vandalism,2017,07/06/2017,12:00 AM,Unknown,Unknown,Idaho: Jerome County,WECC,0,0,
Severe Weather,2017,07/07/2017,3:30 AM,07/08/2017,7:30 PM,"Michigan: Kent County, Ottawa County, Muskegon County, Barry County, Oceana County, Eaton County",RFC,Unknown,160000,
Transmission Interruption,2017,07/08/2017,6:52 PM,07/09/2017,8:00 AM,California: Los Angeles County,WECC,645,176867,
Vandalism,2017,07/11/2017,10:00 AM,07/11/2017,12:00 PM,Minnesota,MRO,0,0,
Vandalism,2017,07/12/2017,12:25 PM,07/15/2017,9:00 AM,Tennessee,SERC,0,0,
Vandalism,2017,07/12/2017,12:25 PM,Unknown,Unknown,Tennessee: Shelby County,SERC,Unknown,Unknown,
Actual Physical Attack,2017,07/18/2017,4:03 AM,Unknown,Unknown,Missouri,SERC,Unknown,700,
Severe Weather,2017,07/18/2017,4:23 PM,07/18/2017,6:39 PM,Nevada,WECC,0,0,
Vandalism,2017,07/20/2017,1:00 AM,07/20/2017,9:46 AM,Utah: Beaver County,WECC,0,0,
Severe Weather,2017,07/22/2017,10:00 PM,07/23/2017,12:00 PM,"Missouri: Clay County, Jackson County, Lafayette County, Platte County; Kansas: Johnson County, Miami County, Wyandotte County",SERC,Unknown,112540,
Severe Weather,2017,07/22/2017,10:00 PM,Unknown,Unknown,Missouri,SERC,Unknown,131000,
Severe Weather,2017,07/22/2017,10:00 PM,Unknown,Unknown,Missouri,SERC,Unknown,115000,
Severe Weather,2017,07/23/2017,4:00 AM,Unknown,Unknown,Missouri: Illinois,SERC,Unknown,82000,
Fuel Supply Deficiency,2017,07/27/2017,6:00 AM,07/27/2017,11:29 AM,California: Butte County,WECC,0,0,
Vandalism,2017,08/05/2017,1:20 PM,08/05/2017,2:20 PM,California: Humboldt County;,WECC,0,0,
System Operations,2017,08/21/2017,11:41 PM,08/22/2017,12:21 AM,California: Plumas County;,WECC,1,2,
