,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
2973,Severe Weather,2021,1/12/21,11:50 PM,1/15/21,1:00 PM,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,100,320000,
2992,Transmission Interruption,2021,2/3/21,2:22 PM,2/4/21,10:32 PM,"North Dakota: Logan County, Emmons County, McIntosh County;",MRO,7,1400,
3041,Severe Weather,2021,2/15/21,7:52 AM,2/17/21,2:15 PM,"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",TRE,107,25000,
3060,Severe Weather,2021,2/16/21,7:20 AM,2/16/21,10:02 AM,"Nebraska: Douglas County, Burt County, Washington County, Dodge County, Colfax County, Saunders County, Sarpy County, Cass County, Otoe County, Johnson County, Nemaha County, Pawnee County, Richardson County;",MRO,126,81100,
3191,Transmission Interruption,2021,7/10/21,6:00 PM,7/10/21,9:00 PM,"Nevada: Clark County, Washoe County;",WECC,9000,1300000,
3193,Transmission Interruption,2021,7/11/21,6:00 PM,7/11/21,9:00 PM,"Nevada: Clark County, Washoe County;",WECC,9000,1300000,
3207,Severe Weather,2021,8/1/21,11:37 PM,8/2/21,12:00 AM,"Trinity, CA",WECC,95,65888,
3221,Severe Weather,2021,8/17/21,7:15 PM,8/18/21,5:45 PM,"Trinity, CA",WECC,234,71000,
3246,System Operations,2021,9/9/21,5:00 PM,9/9/21,8:00 PM,"Nevada: Clark County, Washoe County;",WECC,8000,1300000,
3328,Severe Weather,2021,12/11/21,3:13 AM,12/15/21,3:30 PM,"Tennessee: Davidson County, Sumner County;",SERC,177,107344,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
